iter	Passed	Remaining
0	62	4918
1	168	6565
2	251	6445
3	328	6244
4	434	6524
5	542	6695
6	648	6764
7	757	6820
8	817	6447
9	903	6327
10	1006	6311
11	1093	6196
12	1187	6119
13	1244	5866
14	1330	5766
15	1423	5692
16	1516	5619
17	1608	5540
18	1707	5480
19	1820	5462
20	1917	5387
21	2046	5394
22	2154	5339
23	2300	5367
24	2391	5261
25	2486	5164
26	2574	5054
27	2670	4958
28	2754	4844
29	2869	4781
30	2962	4682
31	3049	4574
32	3131	4460
33	3223	4361
34	3305	4249
35	3390	4143
36	3489	4055
37	3572	3948
38	3652	3839
39	3749	3749
40	3839	3651
41	3924	3550
42	4015	3455
43	4101	3356
44	4185	3255
45	4280	3163
46	4362	3063
47	4452	2968
48	4545	2875
49	4636	2781
50	4757	2705
51	4896	2636
52	5027	2560
53	5167	2487
54	5321	2419
55	5452	2336
56	5553	2240
57	5653	2144
58	5767	2052
59	5894	1964
60	6010	1872
61	6110	1774
62	6213	1676
63	6320	1580
64	6424	1482
65	6528	1384
66	6634	1287
67	6735	1188
68	6847	1091
69	6949	992
70	7054	894
71	7145	793
72	7239	694
73	7325	593
74	7418	494
75	7509	395
76	7602	296
77	7691	197
78	7797	98
79	7932	0
