iter	RMSE
0	10816.76489
1	7553.061621
2	5718.329878
3	5046.059343
4	4779.394241
5	4649.413356
6	4521.970217
7	4466.065948
8	4452.811502
9	4423.045797
10	4365.016566
11	4311.229569
12	4297.027284
13	4286.329991
14	4266.924011
15	4210.024739
16	4190.584778
17	4173.675187
18	4147.692949
19	4127.91877
20	4096.933676
21	4041.728739
22	4020.977946
23	3984.37318
24	3952.250162
25	3898.527539
26	3873.411552
27	3822.662436
28	3810.276719
29	3796.427444
30	3737.597633
31	3698.709015
32	3685.479278
33	3638.235807
34	3587.17082
35	3535.281666
36	3496.021492
37	3447.321168
38	3443.009133
39	3415.940941
40	3400.779889
41	3375.754464
42	3355.397593
43	3329.481226
44	3302.791795
45	3280.47498
46	3229.742521
47	3210.149982
48	3200.752391
49	3189.608492
50	3173.152265
51	3168.664212
52	3138.512667
53	3127.275821
54	3108.972923
55	3089.882448
56	3074.805107
57	3060.417912
58	3045.874578
59	3026.403864
60	3012.340572
61	3011.274608
62	3002.986416
63	2980.246426
64	2974.991213
65	2966.835882
66	2946.550324
67	2940.038953
68	2933.180397
69	2931.163783
70	2917.441299
71	2897.633086
72	2879.810769
73	2866.883729
74	2857.514494
75	2836.86703
76	2808.189914
77	2803.071245
78	2787.986373
79	2764.414333
