,Company_Name,Sector of Company,Rating,No_of_Ratings,Positives of Company,Negatives of Company,Locations of company
906,London Stock Exchange Group,Financial Services ,3.9,954," Work Life Balance, Company Culture, Job Security  ", Promotions / Appraisal, Bangalore / Bengaluru +11 other locations
907,Hyundai Mobis,Auto Components ,3.8,951," Job Security, Salary & Benefits  ", Promotions / Appraisal, Chennai +45 other locations
908,Kalpataru Limited,Real Estate ,4.1,950," Job Security, Work Life Balance, Skill Development / Learning ",, Mumbai +74 other locations
909,Innova Solutions,IT Services & Consulting ,3.4,952,  ," Promotions / Appraisal, Job Security, Skill Development / Learning", Hyderabad / Secunderabad +31 other locations
910,Fidelity Investments,Financial Services ,4.1,1k," Company Culture, Work Life Balance, Job Security ",, Bangalore / Bengaluru +17 other locations
911,Johnson Lifts,Chennai +69 other locations,3.9,984," Job Security, Work Life Balance  ", Promotions / Appraisal,
912,Syngenta,Agriculture ,4.1,949," Company Culture, Work Life Balance, Work Satisfaction  ", Promotions / Appraisal, Pune +154 other locations
913,KIMS Hospital,Hyderabad / Secunderabad +50 other locations,4.0,950," Job Security, Skill Development / Learning, Company Culture  ", Promotions / Appraisal,
914,Wonder Home Finance,Financial Services ,4.7,1k," Company Culture, Work Life Balance, Job Security ",, Jaipur +110 other locations
915,Sahara India Pariwar,Broadcasting ,3.8,946,  ," Promotions / Appraisal, Salary & Benefits, Skill Development / Learning", Lucknow +237 other locations
916,HFCL Limited,Telecom ,3.9,944, Work Life Balance  , Promotions / Appraisal, Hyderabad / Secunderabad +106 other locations
917,Siemens Gamesa Renewable Power Private Limited,Power ,4.1,944," Work Life Balance, Company Culture, Work Satisfaction  ", Promotions / Appraisal, Bangalore / Bengaluru +59 other locations
918,Nexa,Automobile ,4.0,942, Skill Development / Learning  ," Promotions / Appraisal, Job Security", New Delhi +196 other locations
919,Imperial Auto Industries,Auto Components ,3.9,943, Job Security  ," Promotions / Appraisal, Salary & Benefits", Faridabad +35 other locations
920,Birla Corporation,Building Material ,4.1,942," Work Life Balance, Job Security, Company Culture ",, Kolkata +130 other locations
921,Altisource,Real Estate ,3.6,939,  ," Job Security, Promotions / Appraisal, Skill Development / Learning", Bangalore / Bengaluru +10 other locations
922,Zydus Wellness,FMCG ,4.0,934," Salary & Benefits, Company Culture, Work Life Balance ",, Ahmedabad +120 other locations
923,Muthoot Microfin,NBFC ,4.1,936," Skill Development / Learning, Company Culture, Work Life Balance ",, Kochi +290 other locations
924,Willis Towers Watson,Management Consulting ,3.7,939," Work Life Balance, Company Culture, Job Security  "," Promotions / Appraisal, Work Satisfaction, Skill Development / Learning", Mumbai +16 other locations
925,Power Grid Corporation of India,Power ,4.4,933," Salary & Benefits, Company Culture, Work Life Balance ",, Gurgaon / Gurugram +212 other locations
926,1point1 Solutions,BPO ,3.4,932,  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Bangalore / Bengaluru +17 other locations
927,Globant,IT Services & Consulting ,3.8,932," Work Life Balance, Company Culture  ", Promotions / Appraisal, Pune +13 other locations
928,TKIL,Industrial Machinery ,4.2,931," Job Security, Company Culture, Work Life Balance  ", Promotions / Appraisal, Pune +53 other locations
929,DLF,Real Estate ,3.9,927, Salary & Benefits  , Promotions / Appraisal, Gurgaon / Gurugram +30 other locations
930,Sri Chaitanya Educational Institutions,Education & Training ,3.8,930,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Hyderabad / Secunderabad +94 other locations
931,Ceasefire Industries,Industrial Machinery ,3.2,926,  ," Promotions / Appraisal, Work Satisfaction, Salary & Benefits", New Delhi +74 other locations
932,Tube Investments of India,Engineering & Construction ,3.9,928," Job Security, Skill Development / Learning  ", Promotions / Appraisal, Chennai +59 other locations
933,Sundaram Finance,NBFC ,4.1,924," Job Security, Company Culture, Work Life Balance  ", Promotions / Appraisal, Chennai +230 other locations
934,CaratLane - A Tata Product,Jewellery ,4.2,923," Company Culture, Skill Development / Learning, Job Security ",, Chennai +72 other locations
935,Episource,IT Services & Consulting ,3.9,924," Job Security, Company Culture, Skill Development / Learning  ", Promotions / Appraisal, Chennai +17 other locations
936,Patra Corporation,BPO ,3.7,924, Job Security  ," Salary & Benefits, Promotions / Appraisal, Skill Development / Learning", Visakhapatnam +19 other locations
937,Kirloskar Brothers,Industrial Machinery ,3.8,927, Work Life Balance  ," Promotions / Appraisal, Job Security", Pune +63 other locations
938,Stanza Living,Internet ,3.0,952,  ," Job Security, Promotions / Appraisal, Company Culture", Bangalore / Bengaluru +33 other locations
939, TK Elevator,Pune +72 other locations,3.8,921,  ," Promotions / Appraisal, Work Satisfaction",
940,Unicharm,FMCG ,4.1,921," Salary & Benefits, Company Culture, Job Security ",, Gurgaon / Gurugram +169 other locations
941,HPCL-Mittal Energy Limited,Petrochemicals ,4.3,919," Work Life Balance, Job Security, Salary & Benefits ",, Bathinda +28 other locations
942,Mando Automotive,Auto Components ,3.9,919," Job Security, Skill Development / Learning, Company Culture  ", Promotions / Appraisal, Chennai +20 other locations
943,V2 Retail,Retail ,3.4,918,  ," Job Security, Company Culture, Work Satisfaction", New Delhi +106 other locations
944,CALIBEHR,IT Services & Consulting ,4.0,917," Company Culture, Skill Development / Learning  ", Promotions / Appraisal, Mumbai +159 other locations
945,Federal Bank,Banking ,3.8,918," Job Security, Salary & Benefits  "," Work Satisfaction, Promotions / Appraisal, Skill Development / Learning", Mumbai +141 other locations
946,iQor Global Services,BPO ,3.4,913,  ," Promotions / Appraisal, Job Security, Skill Development / Learning", Noida +50 other locations
947,Temenos,Software Product ,3.1,913,  ," Promotions / Appraisal, Company Culture, Work Satisfaction", Chennai +9 other locations
948,H.G. Infra Engineering,Engineering & Construction ,4.1,915," Salary & Benefits, Skill Development / Learning, Company Culture ",, Jaipur +87 other locations
949,Aircel,Telecom ,4.4,911," Company Culture, Work Life Balance, Work Satisfaction ",, New Delhi +114 other locations
950,JW Marriott,Hospitality ,4.1,911," Job Security, Skill Development / Learning, Company Culture ",, Mumbai +42 other locations
951,MAHLE ANAND Filter Systems,Auto Components ,3.9,911," Job Security, Company Culture, Work Life Balance  ", Promotions / Appraisal, Pune +29 other locations
952,Zf Rane Automotive,Auto Components ,4.0,940, Skill Development / Learning  ," Promotions / Appraisal, Salary & Benefits", Chennai +45 other locations
953,Gmmco,Industrial Machinery ,4.1,911," Job Security, Skill Development / Learning, Company Culture  ", Promotions / Appraisal, Chennai +85 other locations
954,Hindustan Zinc,Metals & Mining ,3.7,908, Salary & Benefits  ," Company Culture, Work Life Balance, Promotions / Appraisal", Udaipur +30 other locations
955,Petrofac,Oil & Gas ,4.3,905," Salary & Benefits, Work Life Balance, Company Culture ",, Chennai +40 other locations
956,Hikal,Pharma ,3.8,904," Job Security, Work Life Balance, Company Culture  "," Promotions / Appraisal, Salary & Benefits", Bangalore / Bengaluru +22 other locations
957,Indira IVF Hospital,Mumbai +95 other locations,3.9,907, Skill Development / Learning  , Promotions / Appraisal,
958,Spandana Sphoorty Financial,NBFC ,3.8,906," Job Security, Salary & Benefits  "," Work Satisfaction, Promotions / Appraisal", Hyderabad / Secunderabad +273 other locations
959,Vedanta Aluminium,Metals & Mining ,3.9,905,,, Jharsuguda +37 other locations
960,TradeIndia (Infocom Network Private Limited),Internet ,3.4,903,  ," Promotions / Appraisal, Work Satisfaction, Job Security", New Delhi +41 other locations
961,Aspire Systems,IT Services & Consulting ,3.8,904," Job Security, Company Culture, Work Life Balance  "," Promotions / Appraisal, Salary & Benefits", Chennai +22 other locations
962,Sri Chaitanya Techno Schools,Bangalore / Bengaluru +137 other locations,3.7,902,  ," Promotions / Appraisal, Salary & Benefits, Work Life Balance",
963,MakeMyTrip,Internet ,3.6,898,  ," Promotions / Appraisal, Work Satisfaction, Salary & Benefits", Gurgaon / Gurugram +42 other locations
964,Metropolis Healthcare,Healthcare ,4.0,898," Skill Development / Learning, Work Life Balance, Job Security  ", Promotions / Appraisal, Mumbai +88 other locations
965,Dana Anand,Auto Components ,4.1,898," Company Culture, Job Security, Skill Development / Learning  ", Promotions / Appraisal, Pune +45 other locations
966,CarDekho Group,Internet ,3.7,897,  ," Promotions / Appraisal, Job Security", Gurgaon / Gurugram +76 other locations
967,Meril,Pharma ,3.7,896, Job Security  ," Promotions / Appraisal, Salary & Benefits, Work Satisfaction", Vapi +68 other locations
968,NetAmbit,BPO ,3.7,901,  ," Job Security, Promotions / Appraisal, Company Culture", Noida +111 other locations
969,eClinicalWorks,Software Product ,3.8,892," Job Security, Work Life Balance, Salary & Benefits  "," Promotions / Appraisal, Skill Development / Learning, Work Satisfaction", Mumbai +16 other locations
970,CNH Industrial,Automobile ,3.7,893,  ," Promotions / Appraisal, Work Satisfaction, Job Security", Gurgaon / Gurugram +63 other locations
971,TechnipFMC,Industrial Machinery ,4.0,892," Company Culture, Job Security, Work Life Balance  ", Promotions / Appraisal, Hyderabad / Secunderabad +43 other locations
972,Tikona Infinet,Telecom ,3.5,887,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Mumbai +45 other locations
973,Nilkamal,Furniture & Furnishing ,3.8,886, Job Security  ," Promotions / Appraisal, Skill Development / Learning, Salary & Benefits", Mumbai +102 other locations
974,Aparna Constructions and Estates,Real Estate ,4.0,888," Job Security, Skill Development / Learning ",, Hyderabad / Secunderabad +21 other locations
975,Thermo Fisher Scientific,Biotechnology ,3.8,889," Job Security, Work Life Balance  ", Promotions / Appraisal, Bangalore / Bengaluru +31 other locations
976,Otis Elevator,Bangalore / Bengaluru +67 other locations,4.0,886," Company Culture, Work Life Balance, Job Security  ", Promotions / Appraisal,
977,Stellar Migration,Dubai +2 other locations,1.4,1.3k,  ," Company Culture, Work Life Balance, Job Security",
978,Colgate Palmolive,FMCG ,4.1,882," Company Culture, Work Life Balance, Job Security  ", Promotions / Appraisal, Mumbai +106 other locations
979,Pernod Ricard,Beverage ,3.6,883, Salary & Benefits  ," Promotions / Appraisal, Work Satisfaction, Job Security", Gurgaon / Gurugram +107 other locations
980,Gannon Dunkerley & Co.,Engineering & Construction ,3.6,881,  ," Promotions / Appraisal, Salary & Benefits, Company Culture", Kolkata +74 other locations
981,_VOIS,IT Services & Consulting ,3.9,967," Work Life Balance, Job Security, Company Culture  ", Promotions / Appraisal, Pune +19 other locations
