iter	Passed	Remaining
400	21575	32229
401	21618	32158
402	21675	32109
403	21704	32019
404	21734	31931
405	21799	31893
406	21827	31803
407	21889	31760
408	21944	31709
409	22009	31671
410	22036	31580
411	22087	31522
412	22121	31441
413	22145	31346
414	22202	31297
415	22232	31211
416	22289	31162
417	22343	31109
418	22373	31023
419	22441	30991
420	22465	30896
421	22508	30829
422	22542	30749
423	22586	30683
424	22615	30598
425	22643	30509
426	22686	30443
427	22752	30407
428	22782	30323
429	22810	30237
430	22862	30182
431	22892	30099
432	22968	30077
433	22994	29988
434	23034	29917
435	23058	29827
436	23094	29753
437	23239	29818
438	23288	29760
439	23411	29796
440	23462	29740
441	23528	29702
442	23556	29618
443	23580	29528
444	23608	29444
445	23698	29437
446	23735	29364
447	23769	29286
448	23850	29268
449	23894	29204
450	23938	29140
451	24002	29100
452	24027	29013
453	24056	28931
454	24083	28847
455	24110	28763
456	24174	28723
457	24262	28712
458	24289	28629
459	24322	28552
460	24381	28507
461	24410	28426
462	24471	28383
463	24506	28309
464	24538	28232
465	24568	28153
466	24609	28087
467	24684	28059
468	24709	27975
469	24797	27963
470	24825	27882
471	24873	27824
472	24903	27746
473	24967	27706
474	25031	27665
475	25072	27600
476	25142	27567
477	25192	27511
478	25216	27428
479	25275	27381
480	25345	27347
481	25384	27280
482	25440	27231
483	25584	27275
484	25665	27253
485	25762	27246
486	25906	27289
487	25958	27235
488	26058	27230
489	26169	27237
490	26280	27244
491	26391	27249
492	26453	27204
493	26512	27156
494	26569	27105
495	26617	27046
496	26698	27020
497	26825	27040
498	26870	26977
499	26988	26988
500	27111	27002
501	27171	26954
502	27235	26911
503	27368	26933
504	27473	26929
505	27626	26971
506	27710	26945
507	27780	26905
508	27937	26949
509	28041	26941
510	28092	26882
511	28155	26835
512	28208	26778
513	28259	26720
514	28358	26706
515	28545	26775
516	28673	26787
517	28761	26762
518	28916	26799
519	29026	26793
520	29152	26802
521	29214	26751
522	29273	26698
523	29399	26706
524	29515	26704
525	29598	26672
526	29734	26687
527	29780	26622
528	29903	26625
529	30014	26617
530	30066	26555
531	30206	26572
532	30259	26512
533	30338	26475
534	30410	26431
535	30483	26388
536	30546	26337
537	30616	26291
538	30687	26246
539	30763	26206
540	30830	26157
541	30881	26095
542	31017	26104
543	31075	26048
544	31231	26073
545	31373	26087
546	31442	26039
547	31508	25988
548	31632	25986
