iter	RMSE
0	10579.43331
1	7374.115317
2	5584.817958
3	4930.409862
4	4699.887466
5	4591.418557
6	4508.793144
7	4429.377835
8	4365.235658
9	4344.942322
10	4296.368356
11	4295.180522
12	4272.594704
13	4194.828674
14	4184.112023
15	4154.014408
16	4116.440085
17	4088.49496
18	4088.475389
19	4064.248764
20	4013.22561
21	3971.954224
22	3960.274374
23	3946.767698
24	3864.243064
25	3806.830858
26	3770.62797
27	3750.189474
28	3719.916053
29	3695.109199
30	3653.416863
31	3603.941725
32	3589.961031
33	3577.437364
34	3568.431704
35	3562.210119
36	3510.754059
37	3472.85954
38	3466.90136
39	3441.16612
40	3430.947242
41	3406.72362
42	3388.815851
43	3366.51363
44	3359.727924
45	3320.039847
46	3317.398634
47	3299.565207
48	3295.469527
49	3286.071003
50	3245.251527
51	3233.774052
52	3221.68185
53	3211.254137
54	3210.810014
55	3167.200986
56	3140.668458
57	3132.450388
58	3122.71486
59	3099.313693
60	3074.699982
61	3033.473054
62	3015.140932
63	2992.725934
64	2983.839533
65	2971.025208
66	2959.989037
67	2955.249358
68	2943.68232
69	2914.986334
70	2888.535543
71	2871.607019
72	2832.322083
73	2803.739145
74	2784.467503
75	2771.446241
76	2760.430975
77	2748.5956
78	2716.74554
79	2711.6041
