iter	Passed	Remaining
0	61	4839
1	155	6062
2	230	5907
3	277	5278
4	350	5264
5	467	5763
6	582	6079
7	688	6198
8	787	6214
9	894	6258
10	998	6260
11	1083	6139
12	1191	6140
13	1285	6060
14	1334	5783
15	1435	5742
16	1531	5675
17	1625	5599
18	1671	5365
19	1766	5299
20	1854	5210
21	1947	5134
22	2039	5054
23	2131	4974
24	2229	4904
25	2320	4820
26	2410	4732
27	2503	4650
28	2604	4579
29	2695	4492
30	2785	4402
31	2879	4319
32	3003	4277
33	3182	4305
34	3314	4261
35	3463	4232
36	3586	4167
37	3689	4078
38	3784	3978
39	3877	3877
40	3984	3789
41	4086	3697
42	4178	3595
43	4293	3513
44	4390	3415
45	4486	3316
46	4589	3222
47	4684	3122
48	4776	3021
49	4863	2918
50	4961	2821
51	5066	2727
52	5159	2628
53	5249	2527
54	5339	2427
55	5435	2329
56	5526	2229
57	5616	2130
58	5717	2034
59	5808	1936
60	5902	1838
61	6013	1745
62	6116	1650
63	6255	1563
64	6393	1475
65	6555	1390
66	6680	1296
67	6813	1202
68	6910	1101
69	7018	1002
70	7108	901
71	7200	800
72	7291	699
73	7380	598
74	7483	498
75	7572	398
76	7676	299
77	7772	199
78	7865	99
79	7955	0
