,Company_Name,Sector of Company,Locations of company,Rating,No_of_Ratings,Positives of Company,Negatives of Company
3048,MYCPE ONE, Ahmedabad +19 other locations,Recruitment ,4.1,298," Highly Rated For Company Culture, Skill Development / Learning, Salary & Benefits ",
3049,TRL Krosaki Refractories, Jharsuguda +19 other locations,Metals & Mining ,3.9,300, Highly Rated For Job Security ,
3050,Recipharm Pharmaservices, Bangalore / Bengaluru +6 other locations,Pharma ,3.9,298, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits"
3051,Meitra Hospital, Kozhikode +5 other locations,Healthcare ,4.6,298," Highly Rated For Company Culture, Skill Development / Learning, Work Life Balance ",
3052,ETA Engineering, New Delhi +24 other locations,Engineering & Construction ,3.5,304,  ," Rated For Work Life Balance, Salary & Benefits, Company Culture"
3053,MSCI, Mumbai +11 other locations,Financial Services ,3.9,298," Highly Rated For Salary & Benefits, Company Culture  "," Rated For Promotions / Appraisal, Job Security"
3054,Busibud, Chandigarh +22 other locations,Emerging Technologies ,4.0,299," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
3055,Western Digital, Bangalore / Bengaluru +10 other locations,Consumer Electronics & Appliances ,3.5,297,  ," Rated For Promotions / Appraisal, Job Security, Work Satisfaction"
3056,Mahindra Last Mile Mobility, Bangalore / Bengaluru +20 other locations,Automobile ,3.8,321," Highly Rated For Job Security, Skill Development / Learning  "," Rated For Promotions / Appraisal, Salary & Benefits"
3057,Lernx,,Jaipur +10 other locations,3.9,311," Highly Rated For Company Culture, Skill Development / Learning, Work Life Balance ",
3058,AML RightSource, New Delhi +8 other locations,IT Services & Consulting ,2.9,353,  ," Rated For Job Security, Company Culture, Promotions / Appraisal"
3059,Gionee, New Delhi +97 other locations,Consumer Electronics & Appliances ,4.4,297," Highly Rated For Skill Development / Learning, Work Satisfaction, Company Culture ",
3060,Airtel DTH Services, Gurgaon / Gurugram +107 other locations,Telecom ,4.2,297," Highly Rated For Company Culture, Skill Development / Learning, Salary & Benefits ",
3061,AVASOFT, Chennai +7 other locations,Software Product ,2.9,297,  ," Rated For Job Security, Work Life Balance, Work Satisfaction"
3062,Ircon International, New Delhi +52 other locations,Engineering & Construction ,3.8,298,  ," Rated For Promotions / Appraisal, Company Culture, Job Security"
3063,Cogenthub, Kolkata +6 other locations,BPO ,3.0,297,  ," Rated For Promotions / Appraisal, Company Culture, Job Security"
3064,Nabard Financial Services, Bangalore / Bengaluru +109 other locations,NBFC ,4.1,298," Highly Rated For Salary & Benefits, Company Culture, Work Life Balance ",
3065,Boehringer-Ingelheim, Mumbai +52 other locations,Pharma ,4.0,297," Highly Rated For Work Life Balance, Skill Development / Learning, Company Culture  "," Rated For Job Security, Promotions / Appraisal"
3066,Epsilon Carbon, Ballari +15 other locations,Chemicals ,3.7,297, Highly Rated For Salary & Benefits  , Rated For Promotions / Appraisal
3067,Clean Harbors, Hyderabad / Secunderabad +3 other locations,Waste Management ,3.5,315,  ," Rated For Promotions / Appraisal, Company Culture, Skill Development / Learning"
3068,Halliburton, Bangalore / Bengaluru +24 other locations,Engineering & Construction ,3.6,297,  ," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
3069,Medline Industries, Pune +6 other locations,Medical Equipment ,3.9,296," Highly Rated For Work Life Balance, Company Culture  ", Rated For Promotions / Appraisal
3070,Universal Corporation, Kolkata +51 other locations,Pharma ,3.6,297,  ," Rated For Promotions / Appraisal, Company Culture, Work Life Balance"
3071,Doubtnut, Gurgaon / Gurugram +16 other locations,EdTech ,3.4,296,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
3072,Cooper Corporation, Satara +11 other locations,Auto Components ,3.7,296,  ," Rated For Job Security, Promotions / Appraisal, Work Satisfaction"
3073,ABP Group, Kolkata +20 other locations,Printing & Publishing ,3.3,296,  ," Rated For Promotions / Appraisal, Job Security, Work Satisfaction"
3074,Sj Contracts, Pune +8 other locations,Engineering & Construction ,4.2,296," Highly Rated For Job Security, Company Culture, Skill Development / Learning ",
3075,INDIABULLS PHARMACEUTICALS, Mumbai +56 other locations,Pharma ,2.7,296,  ," Rated For Job Security, Work Satisfaction, Company Culture"
3076,L&T Defence, Pune +20 other locations,Defence & Aerospace ,3.8,307," Highly Rated For Job Security, Skill Development / Learning, Work Life Balance  "," Rated For Promotions / Appraisal, Salary & Benefits"
3077,Tega Industries, Kolkata +19 other locations,Industrial Machinery ,3.7,295," Highly Rated For Job Security, Work Life Balance  "," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3078,Robosoft Technologies, Bangalore / Bengaluru +12 other locations,IT Services & Consulting ,3.5,295,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
3079,eMudhra, Bangalore / Bengaluru +15 other locations,Software Product ,3.8,295,  , Rated For Promotions / Appraisal
3080,Robosoft Technologies, Bangalore / Bengaluru +12 other locations,IT Services & Consulting ,3.5,295,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
3081,eMudhra, Bangalore / Bengaluru +15 other locations,Software Product ,3.8,295,  , Rated For Promotions / Appraisal
3082,Multiplier Brand Solutions, New Delhi +66 other locations,Marketing & Advertising ,3.6,296,  ," Rated For Promotions / Appraisal, Job Security, Work Satisfaction"
3083,Zuari Cement, Hyderabad / Secunderabad +36 other locations,Building Material ,4.3,296," Highly Rated For Job Security, Company Culture, Work Life Balance ",
3084,MapmyIndia, New Delhi +9 other locations,Software Product ,3.7,296, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
3085,Rama Medical College Hospital & Research Centre, Kanpur +17 other locations,Healthcare ,3.8,295,  ," Rated For Job Security, Promotions / Appraisal"
3086,Minda Kosei Aluminum Wheel, Ahmedabad +15 other locations,Auto Components ,4.1,295," Highly Rated For Job Security, Work Life Balance, Skill Development / Learning ",
3087,Bellsonica Auto Component, Gurgaon / Gurugram +12 other locations,Auto Components ,3.9,295, Highly Rated For Work Life Balance  , Rated For Promotions / Appraisal
3088,Pfizer Products India, Visakhapatnam +14 other locations,Pharma ,4.0,305," Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning  "," Rated For Promotions / Appraisal, Job Security"
3089,RWS Group, Indore +16 other locations,IT Services & Consulting ,3.8,304," Highly Rated For Work Life Balance, Company Culture  "," Rated For Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
3090,Coding Ninjas, Gurgaon / Gurugram +9 other locations,EdTech ,3.7,302, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Job Security"
3091,Cygnet Infotech, Ahmedabad +12 other locations,IT Services & Consulting ,3.6,295,  ," Rated For Promotions / Appraisal, Job Security, Company Culture"
3092,Cavisson Systems, Noida +4 other locations,IT Services & Consulting ,2.3,294,  ," Rated For Company Culture, Work Life Balance, Salary & Benefits"
3093,Indifi Technologies, Gurgaon / Gurugram +12 other locations,FinTech ,3.7,297, Highly Rated For Company Culture  ," Rated For Promotions / Appraisal, Job Security"
3094,Indo Farm Equipment, Baddi +40 other locations,Industrial Machinery ,3.1,294,  ," Rated For Job Security, Company Culture, Work Satisfaction"
3095,Mirza International, New Delhi +32 other locations,Fashion & Textile ,3.6,294,  ," Rated For Promotions / Appraisal, Company Culture, Job Security"
3096,Khimji Ramdas, Ahmedabad +32 other locations,Retail ,3.8,294, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3097,Vasan Eye Care Hospitals, Bangalore / Bengaluru +70 other locations,Healthcare ,3.8,295, Highly Rated For Work Life Balance  , Rated For Promotions / Appraisal
3098,Sri Aurobindo Society, New Delhi +22 other locations,Non-Profit ,3.3,294,  ," Rated For Job Security, Promotions / Appraisal, Work Satisfaction"
3099,Essar Projects India, Surat +40 other locations,Engineering & Construction ,3.7,299,  ," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
3100,Shakti Pumps, Indore +37 other locations,Industrial Machinery ,3.7,295,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3101,Aurangabad Electricals, Aurangabad +9 other locations,Auto Components ,4.0,294, Highly Rated For Skill Development / Learning  ," Rated For Promotions / Appraisal, Salary & Benefits"
3102,ACB (India), Korba +25 other locations,Oil & Gas ,3.6,293, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
3103,Hema Engineering Industries, Gurgaon / Gurugram +22 other locations,Auto Components ,3.8,293,  ," Rated For Promotions / Appraisal, Job Security"
3104,Signode,,Hyderabad / Secunderabad +37 other locations,3.9,293," Highly Rated For Work Life Balance, Job Security, Company Culture  ", Rated For Promotions / Appraisal
3105,Harsha Engineers, Ahmedabad +8 other locations,Auto Components ,4.0,293," Highly Rated For Job Security, Skill Development / Learning  ", Rated For Promotions / Appraisal
3106,Essar Projects India, Surat +40 other locations,Engineering & Construction ,3.7,299,  ," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
3107,DM Immigration Consultant,,Bangalore / Bengaluru +2 other locations,1.0,528,  ," Rated For Company Culture, Work Life Balance, Work Satisfaction"
3108,CareEdge Ratings, Mumbai +20 other locations,Financial Services ,3.0,293,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
3109,CK Birla Group, Hyderabad / Secunderabad +49 other locations,Building Material ,4.1,293," Highly Rated For Job Security, Company Culture, Work Life Balance ",
3110,Thyssenkrupp Industrial Solutions, Mumbai +22 other locations,Industrial Machinery ,4.0,295," Highly Rated For Company Culture, Work Life Balance, Salary & Benefits  ", Rated For Promotions / Appraisal
3111,Hiranandani Financial Services, Mumbai +70 other locations,NBFC ,4.0,321," Highly Rated For Company Culture, Salary & Benefits, Work Life Balance ",
3112,Oil India, Duliajan +39 other locations,Oil & Gas ,4.3,291," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
3113,Shah Technical Consultants, Mumbai +60 other locations,Telecom ,3.5,293,  ," Rated For Promotions / Appraisal, Salary & Benefits, Job Security"
3114,TMF Group, Pune +10 other locations,Financial Services ,3.7,292, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
3115,PowerSchool India, Bangalore / Bengaluru +9 other locations,EdTech ,3.6,311,  ," Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
3116,Zydex Industries, Vadodara +65 other locations,Chemicals ,4.0,292," Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning ",
3117,Fexprime Finance, New Delhi +45 other locations,Financial Services ,4.5,292," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
3118,STUDDS Accessories Limited, Faridabad +10 other locations,Auto Components ,3.4,293,  ," Rated For Job Security, Promotions / Appraisal, Company Culture"
3119,Fluper, Noida +3 other locations,IT Services & Consulting ,4.1,294," Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance ",
3120,Fluper, Noida +3 other locations,IT Services & Consulting ,4.1,294," Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance ",
3121,Polyplastics Industries (I), Pune +17 other locations,Auto Components ,3.8,292, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3122,Technosoft Engineering Projects Limited, Mumbai +5 other locations,Industrial Automation ,3.9,292," Highly Rated For Job Security, Company Culture, Work Life Balance  "," Rated For Promotions / Appraisal, Salary & Benefits"
3123,Motherhood Hospital, Bangalore / Bengaluru +22 other locations,Healthcare ,3.7,292,  ," Rated For Promotions / Appraisal, Company Culture, Work Life Balance"
3124,AppInventiv Technologies, Noida +12 other locations,Software Product ,3.7,291, Highly Rated For Company Culture  , Rated For Promotions / Appraisal
3125,Oceaneering International, Chandigarh +9 other locations,Engineering & Construction ,4.1,293," Highly Rated For Job Security, Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
3126,Swastika Investmart, Indore +45 other locations,Investment Banking / Venture Capital / Private Equity ,4.1,291," Highly Rated For Company Culture, Work Life Balance, Job Security ",
3127,Paragon Digital Services, Chennai +7 other locations,Marketing & Advertising ,3.2,291,  ," Rated For Promotions / Appraisal, Work Satisfaction, Company Culture"
3128,First Flight Couriers, Mumbai +72 other locations,Logistics ,4.2,291," Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance ",
3129,SYSTRA, New Delhi +41 other locations,Engineering & Construction ,4.0,291, Highly Rated For Work Life Balance  , Rated For Promotions / Appraisal
3130,Walplast Products, Mumbai +51 other locations,Engineering & Construction ,3.9,290," Highly Rated For Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
3131,Ubisoft Entertainment, Pune +7 other locations,Gaming ,3.8,291," Highly Rated For Work Life Balance, Company Culture, Job Security  "," Rated For Promotions / Appraisal, Salary & Benefits"
3132,Halonix Technologies, Noida +45 other locations,Electronics Manufacturing ,3.9,291," Highly Rated For Company Culture, Work Life Balance, Salary & Benefits ",
3133,Técnicas Reunidas, Bangalore / Bengaluru +20 other locations,Engineering & Construction ,4.0,291, Highly Rated For Work Life Balance  , Rated For Promotions / Appraisal
3134,Tata Marcopolo Motors, Dharwad +13 other locations,Auto Components ,3.7,291,  ," Rated For Promotions / Appraisal, Company Culture, Work Satisfaction"
3135,Selec Controls, Mumbai +21 other locations,Electronics Manufacturing ,3.5,291,  ," Rated For Company Culture, Promotions / Appraisal, Work Satisfaction"
3136,Aeronautical Development Agency, Bangalore / Bengaluru +8 other locations,Defence & Aerospace ,4.3,291," Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning  ", Rated For Promotions / Appraisal
3137,Harjai Computers, Mumbai +14 other locations,Recruitment ,3.5,291,  ," Rated For Promotions / Appraisal, Job Security, Company Culture"
3138,Hyundai Construction Equipment, Pune +36 other locations,Industrial Machinery ,4.3,291," Highly Rated For Work Life Balance, Company Culture, Work Satisfaction  ", Rated For Promotions / Appraisal
3139,Cotmac Electronics, Pune +21 other locations,Industrial Automation ,3.7,291,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Life Balance"
3140,SPML Infra, Kolkata +50 other locations,Engineering & Construction ,3.8,291, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Salary & Benefits"
3141,Cotmac Electronics, Pune +21 other locations,Industrial Automation ,3.7,291,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Life Balance"
3142,Richa Global Export, Gurgaon / Gurugram +10 other locations,Fashion & Textile ,4.0,290," Highly Rated For Skill Development / Learning, Company Culture, Job Security  ", Rated For Promotions / Appraisal
3143,Bliss Gvs Pharma, Mumbai +10 other locations,Pharma ,4.1,292," Highly Rated For Company Culture, Job Security, Salary & Benefits ",
3144,Theme Engineering Services, Jaipur +92 other locations,Engineering & Construction ,3.8,291,  ," Rated For Promotions / Appraisal, Job Security, Salary & Benefits"
3145,Maharashtra Hybrid Seed Company, Aurangabad +64 other locations,Agriculture ,4.1,290," Highly Rated For Skill Development / Learning, Work Life Balance, Work Satisfaction  ", Rated For Promotions / Appraisal
3146,KEPCO Plant Service & Engineering, Bhavnagar +21 other locations,Engineering & Construction ,3.7,290,  ," Rated For Promotions / Appraisal, Job Security, Company Culture"
3147,Schaeffer & Sam,,Mumbai +21 other locations,3.3,291,  ," Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
3148,Somic ZF Components, Gurgaon / Gurugram +15 other locations,Auto Components ,4.2,290," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
3149,IIT Bombay, Mumbai +9 other locations,Education & Training ,4.5,289," Highly Rated For Work Life Balance, Skill Development / Learning, Company Culture ",
3150,Borosil Glass Works,,Jaipur +33 other locations,3.9,290, Highly Rated For Salary & Benefits  , Rated For Work Satisfaction
3151,Rajsriya Automotive Industries, Hosur +11 other locations,Auto Components ,3.3,290,  ," Rated For Company Culture, Promotions / Appraisal, Work Life Balance"
3152,Valvoline Cummins, Gurgaon / Gurugram +56 other locations,Auto Components ,4.1,289," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction  ", Rated For Promotions / Appraisal
3153,Jindal Group Of Companies, New Delhi +31 other locations,Iron & Steel ,3.6,292,  ," Rated For Promotions / Appraisal, Company Culture, Work Life Balance"
3154,Emami Paper Mills, Balasore +9 other locations,Pulp & Paper ,4.2,289," Highly Rated For Job Security, Work Life Balance, Skill Development / Learning ",
3155,Princess Cruises, Mumbai +15 other locations,Travel & Tourism ,4.3,289," Highly Rated For Company Culture, Job Security, Work Life Balance ",
3156,Council of Scientific and Industrial Research, New Delhi +40 other locations,Government ,4.1,289," Highly Rated For Skill Development / Learning, Work Life Balance, Company Culture  "," Rated For Promotions / Appraisal, Job Security"
3157,Global Aluminium, Hyderabad / Secunderabad +17 other locations,Metals & Mining ,3.8,289, Highly Rated For Skill Development / Learning  ," Rated For Company Culture, Job Security, Promotions / Appraisal"
3158,Inlead Electronics, Mumbai +41 other locations,Consumer Electronics & Appliances ,3.9,293," Highly Rated For Work Life Balance, Skill Development / Learning  ", Rated For Promotions / Appraisal
3159,Baoiam Innovations, Noida +6 other locations,EdTech ,4.6,288," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction ",
3160,Kelly Services, Bangalore / Bengaluru +36 other locations,Recruitment ,4.2,288," Highly Rated For Company Culture, Work Life Balance, Work Satisfaction  ", Rated For Promotions / Appraisal
3161,Data-Core Systems, Kolkata +8 other locations,IT Services & Consulting ,3.1,288,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3162,Phenom, Hyderabad / Secunderabad +3 other locations,Software Product ,3.9,289," Highly Rated For Job Security, Skill Development / Learning, Company Culture ",
3163,Yum!, Gurgaon / Gurugram +28 other locations,Hospitality ,4.1,287," Highly Rated For Company Culture, Work Life Balance, Job Security ",
3164,Gyproc,,Mumbai +37 other locations,4.1,287," Highly Rated For Job Security, Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
3165,Bharat IT Services, New Delhi +48 other locations,IT Services & Consulting ,3.4,287,  ," Rated For Promotions / Appraisal, Job Security, Salary & Benefits"
3166,Awign Enterprises, Bangalore / Bengaluru +39 other locations,Internet ,3.9,287," Highly Rated For Company Culture, Work Life Balance  "," Rated For Job Security, Promotions / Appraisal"
3167,Infrastructure Leasing & Financial Services, Mumbai +67 other locations,Engineering & Construction ,4.0,287, Highly Rated For Skill Development / Learning  , Rated For Promotions / Appraisal
3168,SAEL Industries Limited, New Delhi +41 other locations,Power ,3.8,287,  , Rated For Promotions / Appraisal
3169,NXP Semiconductors, Bangalore / Bengaluru +12 other locations,Semiconductors ,3.7,287,  ," Rated For Job Security, Promotions / Appraisal, Work Satisfaction"
3170,State Street Bank, Bangalore / Bengaluru +13 other locations,Banking ,3.7,290,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3171,Duroflex, Bangalore / Bengaluru +42 other locations,Furniture & Furnishing ,4.0,287, Highly Rated For Work Life Balance  , Rated For Promotions / Appraisal
3172,Lumino Industries, Kolkata +38 other locations,Electrical Equipment ,3.8,288,  , Rated For Promotions / Appraisal
3173,CESC, Kolkata +15 other locations,Power ,3.8,287," Highly Rated For Job Security, Work Life Balance  "," Rated For Promotions / Appraisal, Salary & Benefits"
3174,ZF India Technology Center, Hyderabad / Secunderabad +5 other locations,Auto Components ,3.7,293," Highly Rated For Job Security, Work Life Balance  "," Rated For Promotions / Appraisal, Skill Development / Learning, Company Culture"
3175,Hygienic Research Institute, Mumbai +52 other locations,Beauty & Personal Care ,4.1,289," Highly Rated For Company Culture, Work Life Balance, Salary & Benefits  ", Rated For Promotions / Appraisal
3176,DataTrained, Noida +3 other locations,EdTech ,3.8,291," Highly Rated For Promotions / Appraisal, Skill Development / Learning, Company Culture ",
3177,Zypp Electric, Gurgaon / Gurugram +10 other locations,Internet ,3.6,316, Highly Rated For Salary & Benefits  , Rated For Job Security
3178,Techno Electric & Engineering Company, Kolkata +49 other locations,Engineering & Construction ,3.9,287," Highly Rated For Company Culture, Job Security, Skill Development / Learning  ", Rated For Promotions / Appraisal
3179,METRO Global Solutions Center, Pune +8 other locations,IT Services & Consulting ,3.6,287, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3180,Hygienic Research Institute, Mumbai +52 other locations,Beauty & Personal Care ,4.1,289," Highly Rated For Company Culture, Work Life Balance, Salary & Benefits  ", Rated For Promotions / Appraisal
3181,Techno Electric & Engineering Company, Kolkata +49 other locations,Engineering & Construction ,3.9,287," Highly Rated For Company Culture, Job Security, Skill Development / Learning  ", Rated For Promotions / Appraisal
3182,N Ranga Rao And Sons, Mysuru / Mysore +64 other locations,FMCG ,3.9,286," Highly Rated For Company Culture, Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
3183,Lalitha Jewellery, Chennai +38 other locations,Jewellery ,4.0,287, Highly Rated For Job Security  , Rated For Promotions / Appraisal
3184,Smart Value Products And Services, Gurgaon / Gurugram +71 other locations,FMCG ,4.2,286," Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance ",
3185,Novel Office, Bangalore / Bengaluru +12 other locations,Real Estate ,4.1,296," Highly Rated For Company Culture, Work Satisfaction, Skill Development / Learning ",
3186,ERA Group, New Delhi +39 other locations,Power ,3.8,285, Highly Rated For Skill Development / Learning ,
3187,Tudip Technologies, Pune +6 other locations,IT Services & Consulting ,3.0,285,  ," Rated For Work Life Balance, Job Security, Company Culture"
3188,Lam Research, Bangalore / Bengaluru +3 other locations,Semiconductors ,3.8,285," Highly Rated For Company Culture, Salary & Benefits  "," Rated For Promotions / Appraisal, Work Satisfaction, Job Security"
3189,Springer Nature in India, Pune +4 other locations,Printing & Publishing ,4.0,285," Highly Rated For Company Culture, Work Life Balance, Job Security  "," Rated For Promotions / Appraisal, Salary & Benefits"
3190,Sundaram Motors, Chennai +38 other locations,Automobile ,3.9,285," Highly Rated For Job Security, Company Culture  ", Rated For Promotions / Appraisal
3191,TMEIC, Bangalore / Bengaluru +9 other locations,Industrial Automation ,3.9,285," Highly Rated For Job Security, Work Life Balance  "," Rated For Promotions / Appraisal, Salary & Benefits"
3192,Balaji Wafers, Indore +47 other locations,FMCG ,4.4,286," Highly Rated For Company Culture, Work Life Balance, Job Security ",
3193,Gujarat Alkalies & Chemicals, Bharuch +11 other locations,Chemicals ,4.5,287," Highly Rated For Work Life Balance, Job Security, Company Culture ",
3194,InfodriveIndia, New Delhi +4 other locations,Other ,4.2,285," Highly Rated For Company Culture, Skill Development / Learning, Work Life Balance ",
3195,Konexions Back Office Services, New Delhi +12 other locations,BPO ,3.0,313,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
3196,Europa Locks, Pune +36 other locations,Industrial Machinery ,3.6,307,  ," Rated For Promotions / Appraisal, Company Culture, Salary & Benefits"
3197,Sterling Tools, Faridabad +12 other locations,Automobile ,3.6,285,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
3198,Nava Limited, Hyderabad / Secunderabad +25 other locations,Metals & Mining ,3.8,284, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Salary & Benefits"
3199,Azure Power, New Delhi +24 other locations,Power ,3.9,284," Highly Rated For Salary & Benefits, Company Culture, Work Life Balance ",
3200,Consolidated Construction Consortium, Chennai +28 other locations,Engineering & Construction ,4.4,284," Highly Rated For Skill Development / Learning, Company Culture, Work Satisfaction ",
3201,Sterling Tools, Faridabad +12 other locations,Automobile ,3.6,285,  ," Rated For Promotions / Appraisal, Salary & Benefits, Company Culture"
3202,Nava Limited, Hyderabad / Secunderabad +25 other locations,Metals & Mining ,3.8,284, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Salary & Benefits"
3203,Mantra Technologies, Hyderabad / Secunderabad +9 other locations,IT Services & Consulting ,3.7,284,  , Rated For Job Security
3204,Sekisui Dljm Molding, Chennai +18 other locations,Auto Components ,3.8,284,  ," Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
3205,ESAF CO-OPERATIVE, Thrissur +114 other locations,Financial Services ,3.6,284,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Life Balance"
3206,L&T–MHI Power Boilers, Surat +21 other locations,Industrial Machinery ,4.0,293," Highly Rated For Job Security, Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
3207,Moody's Analytics, Gurgaon / Gurugram +5 other locations,Analytics & KPO ,3.9,283," Highly Rated For Work Life Balance, Company Culture, Salary & Benefits  ", Rated For Promotions / Appraisal
3208,INOX Air Products, Pune +51 other locations,Oil & Gas ,4.1,283," Highly Rated For Job Security, Work Life Balance  ", Rated For Promotions / Appraisal
3209,Peregrine Guarding, Gurgaon / Gurugram +44 other locations,Law Enforcement & Security ,4.0,284," Highly Rated For Salary & Benefits, Work Life Balance, Skill Development / Learning ",
3210,Quintessence Business Solutions & Services, Coimbatore +2 other locations,Analytics & KPO ,4.0,292," Highly Rated For Company Culture, Job Security, Skill Development / Learning ",
3211,EPIQ Systems, Hyderabad / Secunderabad +9 other locations,Legal ,3.6,290, Highly Rated For Work Life Balance  ," Rated For Promotions / Appraisal, Job Security, Skill Development / Learning"
3212,HungerBox, Bangalore / Bengaluru +14 other locations,Internet ,3.8,283,  ," Rated For Promotions / Appraisal, Job Security, Work Satisfaction"
3213,SAR Group, Gurgaon / Gurugram +36 other locations,Consumer Electronics & Appliances ,3.8,284,  ," Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
3214,Aliens Group, Hyderabad / Secunderabad +6 other locations,Real Estate ,3.1,283,  ," Rated For Work Life Balance, Company Culture, Work Satisfaction"
3215,Vascon Engineers, Pune +20 other locations,Real Estate ,3.7,283, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits"
3216,Hindustan Syringes & Medical Devices, Faridabad +17 other locations,Medical Equipment ,3.9,285," Highly Rated For Job Security, Salary & Benefits, Company Culture  ", Rated For Promotions / Appraisal
3217,Health India Tpa Services, Mumbai +32 other locations,Insurance ,3.3,283,  ," Rated For Promotions / Appraisal, Work Satisfaction, Company Culture"
3218,Prolifics Corporation, Hyderabad / Secunderabad +6 other locations,IT Services & Consulting ,3.2,284,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
3219,Nature's Basket, Mumbai +11 other locations,Internet ,3.8,283, Highly Rated For Skill Development / Learning  , Rated For Promotions / Appraisal
3220,Volvo Trucks, Bangalore / Bengaluru +31 other locations,Automobile ,4.0,282," Highly Rated For Work Life Balance, Job Security, Company Culture  ", Rated For Promotions / Appraisal
3221,Orix Auto Infrastructure Services, New Delhi +20 other locations,Logistics ,4.2,282," Highly Rated For Company Culture, Work Life Balance, Job Security ",
3222,Allegis Global Solutions, Bangalore / Bengaluru +10 other locations,Recruitment ,3.5,282,  ," Rated For Promotions / Appraisal, Work Satisfaction, Work Life Balance"
3223,Festo, Bangalore / Bengaluru +19 other locations,Industrial Automation ,3.8,283," Highly Rated For Job Security, Work Life Balance, Company Culture  "," Rated For Promotions / Appraisal, Salary & Benefits"
3224,TCI Supply Chain Solutions, Gurgaon / Gurugram +49 other locations,Logistics ,4.2,283," Highly Rated For Job Security, Skill Development / Learning, Company Culture ",
3225,Sedemac Mechatronics, Pune +4 other locations,Emerging Technologies ,4.1,283," Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning  ", Rated For Promotions / Appraisal
3226,Diamondpick, Chennai +6 other locations,Recruitment ,4.0,288," Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning  "," Rated For Promotions / Appraisal, Job Security"
3227,Starbucks, Mumbai +50 other locations,Hospitality ,4.1,311," Highly Rated For Job Security, Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
3228,Cadence Design Systems, Noida +13 other locations,Semiconductors ,4.0,293," Highly Rated For Company Culture, Work Life Balance, Job Security ",
