,Company_Name,Sector of Company,Locations of company,Rating,No_of_Ratings,Positives of Company,Negatives of Company
39,Infosys BPM , Bangalore / Bengaluru +83 other locations,BPO ,3.6,10.4k, Highly Rated For Job Security  ," Rated For Salary & Benefits, Promotions / Appraisal, Work Satisfaction"
40,HDFC Life, Mumbai +621 other locations,Insurance ,3.9,9.9k," Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance ",
41,Conneqt Business Solutions, Hyderabad / Secunderabad +245 other locations,BPO ,3.6,9.2k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
42,Mphasis, Bangalore / Bengaluru +57 other locations,IT Services & Consulting ,3.3,8.9k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
43,Yes Bank, Mumbai +496 other locations,Banking ,3.7,8.4k,  ," Rated For Work Satisfaction, Job Security, Promotions / Appraisal"
44,Bandhan Bank, Kolkata +895 other locations,Banking ,3.7,8.4k, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Work Satisfaction"
45,Tata Steel, Jamshedpur +211 other locations,Iron & Steel ,4.0,8.2k," Highly Rated For Job Security, Work Life Balance, Skill Development / Learning  ", Rated For Promotions / Appraisal
46,Quess, Bangalore / Bengaluru +647 other locations,BPO ,3.8,7.9k,  ," Rated For Promotions / Appraisal, Job Security"
47,Asian Paints, Mumbai +498 other locations,Chemicals ,4.0,7.9k," Highly Rated For Salary & Benefits, Skill Development / Learning, Job Security  "," Rated For Work Life Balance, Promotions / Appraisal"
48,Paytm, Noida +373 other locations,FinTech ,3.2,7.9k,  ," Rated For Job Security, Company Culture, Promotions / Appraisal"
49,Startek,,Bangalore / Bengaluru +78 other locations,3.1,8.1k,  ," Rated For Promotions / Appraisal, Work Satisfaction, Salary & Benefits"
50,UltraTech Cement, Mumbai +486 other locations,Building Material ,4.2,7.7k," Highly Rated For Job Security, Skill Development / Learning, Company Culture ",
51,Maruti Suzuki, Gurgaon / Gurugram +407 other locations,Automobile ,4.2,7.6k," Highly Rated For Job Security, Salary & Benefits, Company Culture ",
52,Samsung, Noida +551 other locations,Consumer Electronics & Appliances ,3.9,7.6k, Highly Rated For Salary & Benefits  , Rated For Promotions / Appraisal
53,EXL Service, Noida +58 other locations,IT Services & Consulting ,3.7,7.5k, Highly Rated For Job Security  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
54,Ericsson, Noida +157 other locations,Telecom ,4.1,7.5k," Highly Rated For Company Culture, Work Life Balance, Job Security  ", Rated For Promotions / Appraisal
55,Sutherland Global Services, Chennai +72 other locations,IT Services & Consulting ,3.5,7.5k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
56,Muthoot Fincorp, Bangalore / Bengaluru +885 other locations,NBFC ,4.5,7.4k," Highly Rated For Company Culture, Work Life Balance, Job Security ",
57,Shriram Finance, Chennai +1014 other locations,NBFC ,4.0,7.5k," Highly Rated For Job Security, Work Life Balance, Company Culture  ", Rated For Promotions / Appraisal
58,Cipla, Mumbai +267 other locations,Pharma ,4.1,7.3k," Highly Rated For Skill Development / Learning, Salary & Benefits, Company Culture ",
59,Dr. Reddy's, Hyderabad / Secunderabad +196 other locations,Pharma ,4.0,7.1k," Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance  ", Rated For Promotions / Appraisal
60,HGS, Bangalore / Bengaluru +117 other locations,BPO ,3.8,7.1k," Highly Rated For Job Security, Company Culture  "," Rated For Promotions / Appraisal, Salary & Benefits"
61,Wells Fargo, Bangalore / Bengaluru +25 other locations,Financial Services ,3.8,7k," Highly Rated For Work Life Balance, Job Security  "," Rated For Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
62, Bajaj Finance, Pune +847 other locations,NBFC ,4.0,7.4k," Highly Rated For Salary & Benefits, Skill Development / Learning, Job Security ",
63,ICICI Prudential Life Insurance, Mumbai +484 other locations,Insurance ,4.0,6.7k," Highly Rated For Job Security, Skill Development / Learning, Salary & Benefits ",
64,JPMorgan Chase & Co., Bangalore / Bengaluru +49 other locations,Financial Services ,3.9,6.6k," Highly Rated For Job Security, Company Culture, Skill Development / Learning  ", Rated For Promotions / Appraisal
65,Optum Global Solutions, Hyderabad / Secunderabad +50 other locations,IT Services & Consulting ,4.0,6.6k," Highly Rated For Job Security, Company Culture, Work Life Balance  "," Rated For Promotions / Appraisal, Salary & Benefits"
66,Jana Small Finance Bank, Bangalore / Bengaluru +386 other locations,Banking ,3.8,6.5k,  , Rated For Promotions / Appraisal
67,Delhivery, Gurgaon / Gurugram +698 other locations,Logistics ,3.8,6.5k,  , Rated For Promotions / Appraisal
68,L&T Construction, Chennai +401 other locations,Engineering & Construction ,4.0,6.4k," Highly Rated For Job Security, Skill Development / Learning, Salary & Benefits  "," Rated For Work Life Balance, Promotions / Appraisal"
69,Lupin, Pune +188 other locations,Pharma ,4.1,6.4k," Highly Rated For Company Culture, Skill Development / Learning, Work Life Balance ",
70,Amazon Development Centre India, Hyderabad / Secunderabad +118 other locations,Internet ,4.0,6.7k," Highly Rated For Company Culture, Work Life Balance, Salary & Benefits  ", Rated For Promotions / Appraisal
71,Hexaware Technologies, Chennai +64 other locations,IT Services & Consulting ,3.5,6.4k,  ," Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
72,Hindustan Unilever , Mumbai +495 other locations,FMCG ,4.2,6.3k," Highly Rated For Skill Development / Learning, Company Culture, Job Security  ", Rated For Promotions / Appraisal
73,JSW Steel, Ballari +169 other locations,Iron & Steel ,3.9,6.3k," Highly Rated For Job Security, Skill Development / Learning  ", Rated For Promotions / Appraisal
74,Zydus Lifesciences, Ahmedabad +168 other locations,Pharma ,4.1,6.3k," Highly Rated For Salary & Benefits, Job Security, Skill Development / Learning ",
75,Equitas Small Finance Bank, Chennai +430 other locations,Banking ,4.4,6.2k," Highly Rated For Company Culture, Work Life Balance, Job Security ",
76,Sun Pharmaceutical Industries, Vadodara +233 other locations,Pharma ,4.0,6.1k," Highly Rated For Salary & Benefits, Job Security, Skill Development / Learning ",
77,ITC, Bangalore / Bengaluru +351 other locations,FMCG ,3.9,6.1k," Highly Rated For Job Security, Skill Development / Learning  ", Rated For Promotions / Appraisal
