iter	RMSE
0	11001.59577
1	7658.60665
2	5809.164028
3	5122.050156
4	4875.844125
5	4780.337445
6	4685.574044
7	4625.261697
8	4590.565651
9	4477.925391
10	4462.892394
11	4459.012762
12	4388.279515
13	4379.180617
14	4361.57165
15	4354.176634
16	4327.751274
17	4289.049535
18	4240.173644
19	4226.677353
20	4170.58899
21	4143.675211
22	4120.914748
23	4114.274984
24	4070.417396
25	4048.138019
26	4039.082839
27	4025.304119
28	4017.078325
29	3972.388919
30	3929.75561
31	3918.005864
32	3905.066669
33	3884.313507
34	3847.911158
35	3838.976173
36	3788.092049
37	3760.83662
38	3700.525727
39	3690.324327
40	3654.667236
41	3635.756477
42	3625.37524
43	3585.361311
44	3575.691104
45	3541.437093
46	3539.195197
47	3519.881914
48	3507.584744
49	3488.606125
50	3460.87658
51	3446.456449
52	3443.029414
53	3421.226113
54	3408.604677
55	3400.607207
56	3371.767451
57	3369.815691
58	3357.432661
59	3330.188762
60	3294.606147
61	3286.358861
62	3280.723228
63	3275.110729
64	3235.52396
65	3231.208995
66	3212.471204
67	3192.021238
68	3179.367408
69	3150.589056
70	3131.574846
71	3113.380477
72	3100.331664
73	3092.688072
74	3071.073715
75	3066.672175
76	3044.095802
77	3024.513741
78	3017.848306
79	3015.966179
