iter	RMSE
0	11020.41704
1	7564.103792
2	5706.423275
3	4959.626865
4	4702.230964
5	4593.763841
6	4503.345542
7	4426.932371
8	4273.416368
9	4212.776504
10	4201.480298
11	4184.57033
12	4149.120704
13	4136.617475
14	4121.728845
15	4080.127724
16	4025.251084
17	4012.260878
18	3992.237517
19	3975.656672
20	3959.625406
21	3938.33412
22	3926.879512
23	3907.170472
24	3901.034699
25	3817.285106
26	3783.833996
27	3776.868288
28	3716.453466
29	3697.672019
30	3672.722455
31	3662.325991
32	3645.975047
33	3635.942546
34	3573.230623
35	3565.655563
36	3561.568297
37	3504.828332
38	3495.952499
39	3487.538332
40	3479.928081
41	3474.850355
42	3469.17202
43	3446.609412
44	3428.564017
45	3386.570805
46	3380.480063
47	3335.847062
48	3333.704347
49	3327.656207
50	3325.499128
51	3272.200048
52	3269.526955
53	3251.220314
54	3231.911138
55	3204.90837
56	3165.094863
57	3147.560136
58	3141.080939
59	3139.862577
60	3118.574722
61	3072.70524
62	3068.409667
63	3055.174367
64	3040.969331
65	3033.328066
66	3028.351392
67	3002.257775
68	2988.075404
69	2977.068898
70	2965.652697
71	2961.890692
72	2954.603858
73	2940.556292
74	2940.548439
75	2929.37684
76	2899.510929
77	2878.365528
78	2871.955339
79	2857.798693
