iter	Passed	Remaining
0	51	4099
1	141	5523
2	200	5136
3	243	4620
4	298	4475
5	387	4775
6	446	4654
7	531	4786
8	644	5084
9	744	5211
10	831	5218
11	926	5247
12	1013	5225
13	1102	5196
14	1195	5182
15	1286	5146
16	1392	5161
17	1490	5134
18	1584	5086
19	1669	5007
20	1776	4992
21	1886	4972
22	1999	4956
23	2120	4948
24	2235	4918
25	2348	4876
26	2464	4837
27	2580	4791
28	2687	4725
29	2790	4651
30	2880	4553
31	2990	4485
32	3090	4401
33	3201	4330
34	3308	4253
35	3408	4165
36	3524	4096
37	3613	3993
38	3699	3889
39	3816	3816
40	3914	3723
41	4015	3633
42	4120	3545
43	4218	3451
44	4314	3355
45	4431	3275
46	4530	3180
47	4640	3093
48	4764	3014
49	4900	2940
50	4998	2842
51	5093	2742
52	5181	2639
53	5273	2539
54	5364	2438
55	5457	2338
56	5553	2240
57	5639	2139
58	5740	2043
59	5829	1943
60	5916	1842
61	6033	1751
62	6139	1656
63	6246	1561
64	6350	1465
65	6450	1368
66	6558	1272
67	6668	1176
68	6784	1081
69	6871	981
70	6958	882
71	7065	785
72	7152	685
73	7251	587
74	7360	490
75	7468	393
76	7566	294
77	7662	196
78	7751	98
79	7858	0
