iter	Passed	Remaining
0	80	6388
1	185	7229
2	257	6613
3	311	5916
4	381	5720
5	488	6024
6	580	6049
7	668	6017
8	766	6042
9	862	6037
10	972	6099
11	1112	6303
12	1213	6254
13	1331	6278
14	1458	6321
15	1499	5997
16	1605	5951
17	1707	5880
18	1815	5827
19	1921	5764
20	2016	5665
21	2107	5556
22	2196	5443
23	2313	5397
24	2438	5364
25	2593	5386
26	2776	5450
27	2982	5539
28	3121	5489
29	3291	5485
30	3414	5396
31	3508	5262
32	3601	5129
33	3691	4993
34	3793	4876
35	3884	4747
36	3973	4618
37	4071	4500
38	4173	4387
39	4265	4265
40	4355	4142
41	4455	4030
42	4548	3913
43	4637	3794
44	4726	3676
45	4824	3566
46	4939	3468
47	5040	3360
48	5147	3256
49	5252	3151
50	5357	3046
51	5459	2939
52	5570	2837
53	5672	2731
54	5769	2622
55	5865	2513
56	5960	2404
57	6052	2295
58	6144	2187
59	6248	2082
60	6349	1977
61	6460	1875
62	6596	1779
63	6756	1689
64	6880	1587
65	7027	1490
66	7160	1389
67	7262	1281
68	7358	1173
69	7462	1066
70	7575	960
71	7673	852
72	7770	745
73	7873	638
74	7979	531
75	8093	425
76	8197	319
77	8289	212
78	8385	106
79	8485	0
